"","biddingZone_Domain.mRID","start_DateAndOrTime.date","start_DateAndOrTime.time","end_DateAndOrTime.date","end_DateAndOrTime.time","quantity_Measure_Unit.name","production_RegisteredResource.mRID","production_RegisteredResource.name","production_RegisteredResource.pSRType.powerSystemResources.mRID","production_RegisteredResource.pSRType.powerSystemResources.name","production_RegisteredResource.pSRType.powerSystemResources.nominalP","reas_c","quantity","reas_t","year","st.mon","st.d","end.mon","end.d","st.datetime","end.datetime","duration_days"
"56","10YDE-VE-------2",2015-01-02,"23:30:00",2015-01-03,"01:35:00","MAW","11WD8GOLD1H----6","PSW Goldisthal","11WD8GOLD1H---BJ","PSW Goldisthal PSS B","265","B18","0",NA,"2015","01","02","01","03",2015-01-02 23:30:00,2015-01-03 01:35:00,0.0868055555555556
"57","10YDE-VE-------2",2015-01-17,"21:00:00",2015-01-17,"23:59:00","MAW","11WD8MOOR1C----G","HKW Moorburg","11WD8MOOR1C---BT","HKW Moorburg Block B","800","B18","300","Other","2015","01","17","01","17",2015-01-17 21:00:00,2015-01-17 23:59:00,0.124305555555556
"58","10YDE-VE-------2",2015-02-01,"00:05:00",2015-02-01,"05:59:00","MAW","11WD8MOOR1C----G","HKW Moorburg","11WD8MOOR1C---BT","HKW Moorburg Block B","800","B18","0","Other","2015","02","01","02","01",2015-02-01 00:05:00,2015-02-01 05:59:00,0.245833333333333
"59","10YDE-VE-------2",2015-02-21,"03:00:00",2015-02-21,"04:45:00","MAW","11WD8ROST1C---P5","Kraftwerk Rostock","11WD8ROST1C----K","Kraftwerk Rostock","514","B18","0",NA,"2015","02","21","02","21",2015-02-21 03:00:00,2015-02-21 04:45:00,0.0729166666666667
"60","10YDE-VE-------2",2015-03-02,"14:31:00",2015-03-02,"22:59:00","MAW","11WD8JAEN1L----Z","KW Jänschwalde","11WD8JAEN1L---E5","KW Jänschwalde Block E","500","B20","245","External Factors","2015","03","02","03","02",2015-03-02 14:31:00,2015-03-02 22:59:00,0.352777777777778
"61","10YDE-VE-------2",2015-03-25,"23:00:00",2015-03-26,"00:59:00","MAW","11WD8LIPD1L----P","KW Lippendorf","11WD8LIPD1L---S4","KW Lippendorf Block S","891","B20","491","External Factors","2015","03","25","03","26",2015-03-25 23:00:00,2015-03-26 00:59:00,0.0826388888888889
"62","10YDE-VE-------2",2015-04-07,"10:11:00",2015-04-07,"15:59:00","MAW","11WD8MOOR1C----G","HKW Moorburg","11WD8MOOR1C---BT","HKW Moorburg Block B","800","B18","0","Other","2015","04","07","04","07",2015-04-07 10:11:00,2015-04-07 15:59:00,0.241666666666667
"63","10YDE-VE-------2",2015-04-09,"02:44:00",2015-04-24,"18:49:00","MAW","11WD8REUT5X----M","HKW Reuter","11WD8REUT5X---CX","HKW Reuter Block C","124","B18","0","Other","2015","04","09","04","24",2015-04-09 02:44:00,2015-04-24 18:49:00,15.6701388888889
"64","10YDE-VE-------2",2015-05-05,"05:47:00",2015-05-05,"08:29:00","MAW","11WD8GOLD1H----6","PSW Goldisthal","11WD8GOLD1H---DF","PSW Goldisthal PSS D","265","B18","0","Other","2015","05","05","05","05",2015-05-05 05:47:00,2015-05-05 08:29:00,0.1125
"65","10YDE-VE-------2",2015-05-16,"06:00:00",2015-05-17,"08:30:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---A2","Schkopau A","450","B18","0",NA,"2015","05","16","05","17",2015-05-16 06:00:00,2015-05-17 08:30:00,1.10416666666667
"66","10YDE-VE-------2",2015-09-15,"16:00:00",2015-09-15,"17:45:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","0",NA,"2015","09","15","09","15",2015-09-15 16:00:00,2015-09-15 17:45:00,0.0729166666666667
"67","10YDE-VE-------2",2015-10-15,"01:00:00",2015-10-15,"09:00:00","MAW","11WD8SCHK1L----O","Schkopau","11WD8SCHK1L---B0","Schkopau B","450","B18","330",NA,"2015","10","15","10","15",2015-10-15 01:00:00,2015-10-15 09:00:00,0.333333333333333
"68","10YDE-VE-------2",2015-10-31,"07:24:00",2015-10-31,"09:48:00","MAW","11WD8BOXB1L----J","KW Boxberg","11WD8BOXB1L---Q2","KW Boxberg Block Q","840","B18","602",NA,"2015","10","31","10","31",2015-10-31 07:24:00,2015-10-31 09:48:00,0.1
"69","10YDE-VE-------2",2015-12-14,"13:50:00",2015-12-14,"15:30:00","MAW","11WD8BOXB1L----J","KW Boxberg","11WD8BOXB1L---Q2","KW Boxberg Block Q","840","B18","612",NA,"2015","12","14","12","14",2015-12-14 13:50:00,2015-12-14 15:30:00,0.0694444444444444
"70","10YDE-VE-------2",2016-01-03,"09:50:00",2016-01-03,"11:30:00","MAW","11WD8ROST1C---P5","Kraftwerk Rostock","11WD8ROST1C----K","Kraftwerk Rostock","514","B18","0",NA,"2016","01","03","01","03",2016-01-03 09:50:00,2016-01-03 11:30:00,0.0694444444444444
